Zeitung (Vorlage);Gruppe;TNB-Variante;0800 (Service);Status;KORREKTUR
Augsburger Allgemeine;AUGSBURGER;Augsburg;0800-2001199;OK;
OTZ;FUNKE;FUNKE;0800-7779872;OK;
TA;FUNKE;FUNKE;0800-7779872;OK;
TLZ;FUNKE;FUNKE;0800-7779872;OK;
Allgemeine Zeitung der Lüneburger Heide;IPPEN;IPPEN;0800-2223384;OK;
AltmarkZeitung;IPPEN;IPPEN;0800-2223384;OK;
Fehmarnsches-Tageblatt;IPPEN;IPPEN;0800-2223384;OK;
Frankfurter-Neue-Presse;IPPEN;IPPEN;0800-2223384;OK;
Frankfurter-Rundschau;IPPEN;IPPEN;0800-2223384;OK;
Giessener-Alsfelder;IPPEN;IPPEN;0800-2223384;OK;
Giessener-Anzeiger;IPPEN;IPPEN;0800-2223384;OK;
HNA;IPPEN;IPPEN;0800-2223384;OK;
Hanauer-Anzeiger;IPPEN;IPPEN;0800-2223384;OK;
Hersfelder-Zeitung;IPPEN;IPPEN;0800-2223384;OK;
Isenhagener Kreisblatt;IPPEN;IPPEN;0800-2223384;OK;
Karl-Sasse-Verlage;IPPEN;IPPEN;0800-2223384;OK;
Kreiszeitung-Verlag;IPPEN;IPPEN;0800-2223384;OK;
Leine-Deister-Zeitung;IPPEN;IPPEN;0800-2223384;OK;
Maerkische-Z;IPPEN;IPPEN;0800-2223384;OK;
Muenchner-Merkur;IPPEN;IPPEN;0800-2223384;OK;
Oberbayerisches-Volksblatt;IPPEN;IPPEN;0800-2223384;OK;
Oberhessische-Lauterbacher;IPPEN;IPPEN;0800-2223384;OK;
Offenbach-Post;IPPEN;IPPEN;0800-2223384;OK;
Soester-Anzeiger;IPPEN;IPPEN;0800-2223384;OK;
TZ;IPPEN;IPPEN;0800-2223384;OK;
Usinger-Kreis;IPPEN;IPPEN;0800-2223384;OK;
Waldeckische-Landeszeitung;IPPEN;IPPEN;0800-2223384;OK;
Werra-Rundschau;IPPEN;IPPEN;0800-2223384;OK;
Westfaelischer-Anz;IPPEN;IPPEN;0800-2223384;OK;
Wetterauer-Butzbacher;IPPEN;IPPEN;0800-2223384;OK;
Wildeshauser-Zeitung;IPPEN;IPPEN;0800-2223384;OK;
n/a;Neue-Westfaeische;NW;0800-7779878;OK;
Nürnberg;NUERNBERG;Nuernberg;0800-1011326;OK;
n/a;RHEIN-Z;Mittelrhein;0800-1088100;OK;
PM;SAAR;Saarbruecker;0800-2223385;OK;
SZ;SAAR;Saarbruecker;0800-2223385;OK;
TV;SAAR;Saarbruecker;0800-2223385;OK;
Beig;SHZ;SHZ;0800-2223365;OK;
NOZ;SHZ;SHZ;0800-2223365;OK;
SHZ;SHZ;SHZ;0800-2223365;OK;
Die Oberbadische, Markgräfler Tagblatt, Weiler Zeitung;SWMH;SWMH;0800-2224449;OK;
Frankenpost;SWMH;SWMH;0800-2224449;OK;
Neue Presse;SWMH;SWMH;0800-2224449;OK;
Nordbayerischer Kurier;SWMH;SWMH;0800-2224449;OK;
Schwarzwälder Bote, Neckarquelle, Lahrer Zeitung;SWMH;SWMH;0800-2224449;OK;
Suhler Verlagsgesellschaft;SWMH;SWMH;0800-2224449;OK;
Zeitungsgruppe Stuttgart;SWMH;SWMH;0800-2224449;OK;
SWP;SWP;SWP;0800-7779889;OK;

--- REFERENZ: 0800 je Gruppe ---
Gruppe/Variante;0800
Augsburg;0800-2001199
FUNKE;0800-7779872
HK;0800-xxxxxxxxx
IPPEN;0800-2223384
Mittelrhein;0800-1088100
NW;0800-7779878
Neutral;0800-xxxxxxxxx
SHZ;0800-2223365
Saarbruecker;0800-2223385
Nuernberg;0800-1011326
SWMH;0800-2224449
SWP;0800-7779889
